meter_id,ts,load_kw
MTR001,2025-12-01 00:00:00,8.06
MTR002,2025-12-01 00:00:00,18.0
MTR003,2025-12-01 00:00:00,34.87
MTR004,2025-12-01 00:00:00,8.53
MTR005,2025-12-01 00:00:00,9.58
MTR006,2025-12-01 00:00:00,36.39
MTR007,2025-12-01 00:00:00,24.63
MTR008,2025-12-01 00:00:00,38.42
MTR009,2025-12-01 00:00:00,28.93
MTR010,2025-12-01 00:00:00,8.35
MTR011,2025-12-01 00:00:00,30.7
MTR012,2025-12-01 00:00:00,37.18
MTR013,2025-12-01 00:00:00,8.51
MTR014,2025-12-01 00:00:00,26.49
MTR015,2025-12-01 00:00:00,36.39
MTR016,2025-12-01 00:00:00,31.19
MTR017,2025-12-01 00:00:00,14.42
MTR018,2025-12-01 00:00:00,13.01
MTR019,2025-12-01 00:00:00,19.84
MTR020,2025-12-01 00:00:00,14.77
MTR021,2025-12-01 00:00:00,16.78
MTR022,2025-12-01 00:00:00,17.68
MTR023,2025-12-01 00:00:00,29.14
MTR024,2025-12-01 00:00:00,37.93
MTR001,2025-12-01 00:15:00,18.45
MTR002,2025-12-01 00:15:00,25.85
MTR003,2025-12-01 00:15:00,8.75
MTR004,2025-12-01 00:15:00,28.23
MTR005,2025-12-01 00:15:00,28.07
MTR006,2025-12-01 00:15:00,22.95
MTR007,2025-12-01 00:15:00,38.91
MTR008,2025-12-01 00:15:00,26.52
MTR009,2025-12-01 00:15:00,22.24
MTR010,2025-12-01 00:15:00,33.9
MTR011,2025-12-01 00:15:00,14.94
MTR012,2025-12-01 00:15:00,18.43
MTR013,2025-12-01 00:15:00,21.69
MTR014,2025-12-01 00:15:00,18.58
MTR015,2025-12-01 00:15:00,32.46
MTR016,2025-12-01 00:15:00,29.75
MTR017,2025-12-01 00:15:00,34.91
MTR018,2025-12-01 00:15:00,34.4
MTR019,2025-12-01 00:15:00,8.88
MTR020,2025-12-01 00:15:00,16.16
MTR021,2025-12-01 00:15:00,15.05
MTR022,2025-12-01 00:15:00,14.85
MTR023,2025-12-01 00:15:00,10.32
MTR024,2025-12-01 00:15:00,25.36
MTR001,2025-12-01 00:30:00,31.93
MTR002,2025-12-01 00:30:00,29.83
MTR003,2025-12-01 00:30:00,25.96
MTR004,2025-12-01 00:30:00,12.31
MTR005,2025-12-01 00:30:00,21.99
MTR006,2025-12-01 00:30:00,30.89
MTR007,2025-12-01 00:30:00,14.75
MTR008,2025-12-01 00:30:00,19.32
MTR009,2025-12-01 00:30:00,21.25
MTR010,2025-12-01 00:30:00,35.78
MTR011,2025-12-01 00:30:00,39.71
MTR012,2025-12-01 00:30:00,27.99
MTR013,2025-12-01 00:30:00,39.67
MTR014,2025-12-01 00:30:00,37.06
MTR015,2025-12-01 00:30:00,14.66
MTR016,2025-12-01 00:30:00,16.01
MTR017,2025-12-01 00:30:00,8.23
MTR018,2025-12-01 00:30:00,25.44
MTR019,2025-12-01 00:30:00,39.32
MTR020,2025-12-01 00:30:00,38.35
MTR021,2025-12-01 00:30:00,10.42
MTR022,2025-12-01 00:30:00,16.33
MTR023,2025-12-01 00:30:00,13.25
MTR024,2025-12-01 00:30:00,38.39
MTR001,2025-12-01 00:45:00,37.71
MTR002,2025-12-01 00:45:00,28.98
MTR003,2025-12-01 00:45:00,11.08
MTR004,2025-12-01 00:45:00,34.64
MTR005,2025-12-01 00:45:00,26.88
MTR006,2025-12-01 00:45:00,12.43
MTR007,2025-12-01 00:45:00,12.86
MTR008,2025-12-01 00:45:00,23.39
MTR009,2025-12-01 00:45:00,31.76
MTR010,2025-12-01 00:45:00,13.74
MTR011,2025-12-01 00:45:00,26.05
MTR012,2025-12-01 00:45:00,23.79
MTR013,2025-12-01 00:45:00,35.88
MTR014,2025-12-01 00:45:00,25.97
MTR015,2025-12-01 00:45:00,38.82
MTR016,2025-12-01 00:45:00,37.6
MTR017,2025-12-01 00:45:00,29.91
MTR018,2025-12-01 00:45:00,27.77
MTR019,2025-12-01 00:45:00,12.86
