meter_id,ts,load_kw
1,2025-12-01 00:00:00,17.88
2,2025-12-01 00:00:00,12.06
1,2025-12-01 00:15:00,15.32
2,2025-12-01 00:15:00,12.61
1,2025-12-01 00:30:00,8.81
2,2025-12-01 00:30:00,19.35
1,2025-12-01 00:45:00,10.38
2,2025-12-01 00:45:00,13.76
1,2025-12-01 01:00:00,17.79
2,2025-12-01 01:00:00,14.6
1,2025-12-01 01:15:00,19.71
2,2025-12-01 01:15:00,14.73
1,2025-12-01 01:30:00,11.05
2,2025-12-01 01:30:00,14.44
1,2025-12-01 01:45:00,17.36
2,2025-12-01 01:45:00,13.16
1,2025-12-01 02:00:00,8.6
2,2025-12-01 02:00:00,16.64
1,2025-12-01 02:15:00,16.66
2,2025-12-01 02:15:00,16.64
1,2025-12-01 02:30:00,19.63
2,2025-12-01 02:30:00,19.91
1,2025-12-01 02:45:00,11.46
2,2025-12-01 02:45:00,15.36
1,2025-12-01 03:00:00,10.63
2,2025-12-01 03:00:00,10.2
1,2025-12-01 03:15:00,19.36
2,2025-12-01 03:15:00,11.79
1,2025-12-01 03:30:00,16.06
2,2025-12-01 03:30:00,17.56
1,2025-12-01 03:45:00,15.21
2,2025-12-01 03:45:00,8.3
1,2025-12-01 04:00:00,15.67
2,2025-12-01 04:00:00,8.04
1,2025-12-01 04:15:00,8.9
2,2025-12-01 04:15:00,19.75
1,2025-12-01 04:30:00,17.66
2,2025-12-01 04:30:00,11.27
1,2025-12-01 04:45:00,8.71
2,2025-12-01 04:45:00,19.4
1,2025-12-01 05:00:00,19.98
2,2025-12-01 05:00:00,14.9
1,2025-12-01 05:15:00,18.72
2,2025-12-01 05:15:00,12.74
1,2025-12-01 05:30:00,14.18
2,2025-12-01 05:30:00,17.0
1,2025-12-01 05:45:00,16.79
2,2025-12-01 05:45:00,12.01
1,2025-12-01 06:00:00,9.69
2,2025-12-01 06:00:00,17.23
1,2025-12-01 06:15:00,17.78
2,2025-12-01 06:15:00,13.9
1,2025-12-01 06:30:00,14.0
2,2025-12-01 06:30:00,16.8
1,2025-12-01 06:45:00,13.71
2,2025-12-01 06:45:00,18.78
1,2025-12-01 07:00:00,12.45
2,2025-12-01 07:00:00,13.58
1,2025-12-01 07:15:00,12.55
2,2025-12-01 07:15:00,17.04
1,2025-12-01 07:30:00,16.54
2,2025-12-01 07:30:00,19.42
1,2025-12-01 07:45:00,19.98
2,2025-12-01 07:45:00,19.17
1,2025-12-01 08:00:00,19.79
2,2025-12-01 08:00:00,16.14
1,2025-12-01 08:15:00,12.08
2,2025-12-01 08:15:00,18.97
1,2025-12-01 08:30:00,14.38
2,2025-12-01 08:30:00,11.0
1,2025-12-01 08:45:00,8.03
2,2025-12-01 08:45:00,15.87
1,2025-12-01 09:00:00,12.97
2,2025-12-01 09:00:00,17.07
1,2025-12-01 09:15:00,8.65
2,2025-12-01 09:15:00,13.75
1,2025-12-01 09:30:00,14.54
2,2025-12-01 09:30:00,15.93
1,2025-12-01 09:45:00,15.15
2,2025-12-01 09:45:00,8.86
1,2025-12-01 10:00:00,17.02
2,2025-12-01 10:00:00,14.67
1,2025-12-01 10:15:00,11.99
