zone_id,ts,temperature_c,humidity_pct,solar_irradiance
1,2025-12-01 00:00:00,31.0,31.7,834.9
2,2025-12-01 00:00:00,30.7,64.4,594.0
3,2025-12-01 00:00:00,39.7,68.2,416.5
4,2025-12-01 00:00:00,25.0,63.9,651.5
1,2025-12-01 01:00:00,36.5,71.4,552.2
2,2025-12-01 01:00:00,19.3,36.3,665.7
3,2025-12-01 01:00:00,38.2,40.8,563.9
4,2025-12-01 01:00:00,25.7,57.1,261.5
1,2025-12-01 02:00:00,34.3,74.1,280.1
2,2025-12-01 02:00:00,34.0,31.8,408.0
3,2025-12-01 02:00:00,24.1,72.9,602.2
4,2025-12-01 02:00:00,33.1,37.0,586.6
1,2025-12-01 03:00:00,33.3,65.8,818.0
2,2025-12-01 03:00:00,26.5,71.6,148.7
3,2025-12-01 03:00:00,36.2,69.8,380.9
4,2025-12-01 03:00:00,21.8,35.2,328.1
1,2025-12-01 04:00:00,18.9,55.1,422.4
2,2025-12-01 04:00:00,22.2,75.5,507.8
3,2025-12-01 04:00:00,32.7,69.1,489.4
4,2025-12-01 04:00:00,29.2,74.2,219.0
1,2025-12-01 05:00:00,24.5,61.6,603.0
2,2025-12-01 05:00:00,35.2,38.3,467.6
3,2025-12-01 05:00:00,35.1,42.7,478.7
4,2025-12-01 05:00:00,24.1,42.9,536.1
1,2025-12-01 06:00:00,27.7,30.7,451.2
2,2025-12-01 06:00:00,19.7,70.0,157.9
3,2025-12-01 06:00:00,33.2,43.5,755.5
4,2025-12-01 06:00:00,26.4,47.2,877.8
1,2025-12-01 07:00:00,37.7,45.8,514.8
2,2025-12-01 07:00:00,25.8,33.5,548.3
3,2025-12-01 07:00:00,32.4,70.5,522.2
4,2025-12-01 07:00:00,32.5,53.5,435.2
1,2025-12-01 08:00:00,26.3,40.6,196.4
2,2025-12-01 08:00:00,21.7,76.2,683.2
3,2025-12-01 08:00:00,32.3,71.5,467.1
4,2025-12-01 08:00:00,35.4,44.6,454.8
1,2025-12-01 09:00:00,18.3,62.4,895.0
2,2025-12-01 09:00:00,36.8,53.7,533.6
3,2025-12-01 09:00:00,30.7,47.0,223.8
4,2025-12-01 09:00:00,19.7,60.7,706.6
1,2025-12-01 10:00:00,21.7,77.0,418.9
2,2025-12-01 10:00:00,36.8,77.8,552.6
3,2025-12-01 10:00:00,37.1,69.1,155.5
4,2025-12-01 10:00:00,28.3,71.6,576.2
1,2025-12-01 11:00:00,37.6,30.0,411.8
2,2025-12-01 11:00:00,23.8,66.9,303.5
3,2025-12-01 11:00:00,25.8,75.3,534.2
4,2025-12-01 11:00:00,34.1,69.1,599.3
1,2025-12-01 12:00:00,31.1,33.8,537.0
2,2025-12-01 12:00:00,30.0,60.6,323.5
3,2025-12-01 12:00:00,24.7,60.6,745.2
4,2025-12-01 12:00:00,20.4,73.8,736.7
1,2025-12-01 13:00:00,28.4,52.0,348.1
2,2025-12-01 13:00:00,27.4,75.9,841.0
3,2025-12-01 13:00:00,37.0,38.0,255.1
4,2025-12-01 13:00:00,36.3,36.3,352.3
1,2025-12-01 14:00:00,18.4,79.9,122.1
2,2025-12-01 14:00:00,31.3,60.9,808.3
3,2025-12-01 14:00:00,28.5,48.8,766.9
4,2025-12-01 14:00:00,29.8,36.1,835.7
1,2025-12-01 15:00:00,31.4,31.3,119.2
2,2025-12-01 15:00:00,22.1,63.3,870.5
3,2025-12-01 15:00:00,35.4,31.4,247.0
4,2025-12-01 15:00:00,21.0,34.3,664.6
1,2025-12-01 16:00:00,37.6,43.9,580.2
2,2025-12-01 16:00:00,32.3,73.2,133.6
