date,total_load,revenue
2023-12-25,717.57,107.64
2023-12-26,722.73,108.41
2023-12-27,653.05,97.96
2023-12-28,660.48,99.07
2023-12-29,690.32,103.55
2023-12-30,659.78,98.97
2023-12-31,654.5,98.18
2024-01-01,731.61,109.74
2024-01-02,680.76,102.11
2024-01-03,729.34,109.4
2024-01-04,584.58,87.69
2024-01-05,714.98,107.25
2024-01-06,538.6,80.79
2024-01-07,696.09,104.41
2024-01-08,719.18,107.88
2024-01-09,666.31,99.95
2024-01-10,578.1,86.71
2024-01-11,653.04,97.96
2024-01-12,688.35,103.25
2024-01-13,661.53,99.23
2024-01-14,681.28,102.19
2024-01-15,694.49,104.17
2024-01-16,777.3,116.59
2024-01-17,580.84,87.13
2024-01-18,650.03,97.5
2024-01-19,660.16,99.02
2024-01-20,678.44,101.77
2024-01-21,655.79,98.37
2024-01-22,735.96,110.39
2024-01-23,622.32,93.35
2024-01-24,659.31,98.9
2024-01-25,847.32,127.1
2024-01-26,622.5,93.38
2024-01-27,689.75,103.46
2024-01-28,695.35,104.3
2024-01-29,743.51,111.53
2024-01-30,641.9,96.28
2024-01-31,696.04,104.41
2024-02-01,675.01,101.25
2024-02-02,666.04,99.91
2024-02-03,647.68,97.15
2024-02-04,688.35,103.25
2024-02-05,657.17,98.58
2024-02-06,684.38,102.66
2024-02-07,731.26,109.69
2024-02-08,746.75,112.01
2024-02-09,699.65,104.95
2024-02-10,770.1,115.51
2024-02-11,577.39,86.61
2024-02-12,753.35,113.0
2024-02-13,754.63,113.19
2024-02-14,627.52,94.13
2024-02-15,657.91,98.69
2024-02-16,603.47,90.52
2024-02-17,758.29,113.74
2024-02-18,710.53,106.58
2024-02-19,724.17,108.63
2024-02-20,756.09,113.41
2024-02-21,710.83,106.62
2024-02-22,759.43,113.91
2024-02-23,679.46,101.92
2024-02-24,679.03,101.85
2024-02-25,680.32,102.05
2024-02-26,716.76,107.51
2024-02-27,689.92,103.49
2024-02-28,726.35,108.95
2024-02-29,683.44,102.52
2024-03-01,636.31,95.45
2024-03-02,655.97,98.4
2024-03-03,779.92,116.99
2024-03-04,831.85,124.78
2024-03-05,713.48,107.02
2024-03-06,666.3,99.95
2024-03-07,761.86,114.28
2024-03-08,593.82,89.07
2024-03-09,742.23,111.34
2024-03-10,790.63,118.59
2024-03-11,702.21,105.33
2024-03-12,685.24,102.79
2024-03-13,657.29,98.59
2024-03-14,754.07,113.11
2024-03-15,730.77,109.62
2024-03-16,807.74,121.16
2024-03-17,743.15,111.47
2024-03-18,745.57,111.84
2024-03-19,639.65,95.95
2024-03-20,815.26,122.29
2024-03-21,708.58,106.29
2024-03-22,781.28,117.19
2024-03-23,718.01,107.7
2024-03-24,767.76,115.16
2024-03-25,791.81,118.77
2024-03-26,748.48,112.27
2024-03-27,786.45,117.97
2024-03-28,801.7,120.26
2024-03-29,693.78,104.07
2024-03-30,724.72,108.71
2024-03-31,680.72,102.11
2024-04-01,689.76,103.46
2024-04-02,742.95,111.44
2024-04-03,766.06,114.91
2024-04-04,740.58,111.09
2024-04-05,770.36,115.55
2024-04-06,810.7,121.61
2024-04-07,680.58,102.09
2024-04-08,756.85,113.53
2024-04-09,677.91,101.69
2024-04-10,764.83,114.73
2024-04-11,715.96,107.39
2024-04-12,715.92,107.39
2024-04-13,830.62,124.59
2024-04-14,722.39,108.36
2024-04-15,845.61,126.84
2024-04-16,704.04,105.61
2024-04-17,769.64,115.45
2024-04-18,726.32,108.95
2024-04-19,799.23,119.88
2024-04-20,766.13,114.92
2024-04-21,770.56,115.58
2024-04-22,749.36,112.4
2024-04-23,764.26,114.64
2024-04-24,713.37,107.01
2024-04-25,731.39,109.71
2024-04-26,715.72,107.36
2024-04-27,873.65,131.05
2024-04-28,828.6,124.29
2024-04-29,768.59,115.29
2024-04-30,733.06,109.96
2024-05-01,716.83,107.52
2024-05-02,779.34,116.9
2024-05-03,736.95,110.54
2024-05-04,806.6,120.99
2024-05-05,746.78,112.02
2024-05-06,769.02,115.35
2024-05-07,844.52,126.68
2024-05-08,659.91,98.99
2024-05-09,648.25,97.24
2024-05-10,823.14,123.47
2024-05-11,801.96,120.29
2024-05-12,767.24,115.09
2024-05-13,717.34,107.6
2024-05-14,796.85,119.53
2024-05-15,721.49,108.22
2024-05-16,788.87,118.33
2024-05-17,678.84,101.83
2024-05-18,712.52,106.88
2024-05-19,845.64,126.85
2024-05-20,684.57,102.69
2024-05-21,744.15,111.62
2024-05-22,716.84,107.53
2024-05-23,842.86,126.43
2024-05-24,777.95,116.69
2024-05-25,774.58,116.19
2024-05-26,745.06,111.76
2024-05-27,742.64,111.4
2024-05-28,759.1,113.87
2024-05-29,738.49,110.77
2024-05-30,756.14,113.42
2024-05-31,792.25,118.84
2024-06-01,773.42,154.68
2024-06-02,757.76,151.55
2024-06-03,729.47,145.89
2024-06-04,721.1,144.22
2024-06-05,735.58,147.12
2024-06-06,687.13,137.43
2024-06-07,736.51,147.3
2024-06-08,681.13,136.23
2024-06-09,719.71,143.94
2024-06-10,776.28,155.26
2024-06-11,767.85,153.57
2024-06-12,731.17,146.23
2024-06-13,688.05,137.61
2024-06-14,724.6,144.92
2024-06-15,737.94,147.59
2024-06-16,654.93,130.99
2024-06-17,765.95,153.19
2024-06-18,783.75,156.75
2024-06-19,748.79,149.76
2024-06-20,725.87,145.17
2024-06-21,738.86,147.77
2024-06-22,778.51,155.7
2024-06-23,781.33,156.27
2024-06-24,822.28,164.46
2024-06-25,732.56,146.51
2024-06-26,766.7,153.34
2024-06-27,750.45,150.09
2024-06-28,772.29,154.46
2024-06-29,712.72,142.54
2024-06-30,713.35,142.67
2024-07-01,788.99,157.8
2024-07-02,799.14,159.83
2024-07-03,771.06,154.21
2024-07-04,675.06,135.01
2024-07-05,839.68,167.94
2024-07-06,813.64,162.73
2024-07-07,719.58,143.92
2024-07-08,855.39,171.08
2024-07-09,726.98,145.4
2024-07-10,716.8,143.36
2024-07-11,658.59,131.72
2024-07-12,703.83,140.77
2024-07-13,683.59,136.72
2024-07-14,700.66,140.13
2024-07-15,756.07,151.21
2024-07-16,669.49,133.9
2024-07-17,670.27,134.05
2024-07-18,705.93,141.19
2024-07-19,701.57,140.31
2024-07-20,784.51,156.9
2024-07-21,628.07,125.61
2024-07-22,659.59,131.92
2024-07-23,766.29,153.26
2024-07-24,716.33,143.27
2024-07-25,748.53,149.71
2024-07-26,620.79,124.16
2024-07-27,745.54,149.11
2024-07-28,781.44,156.29
2024-07-29,700.2,140.04
2024-07-30,711.95,142.39
2024-07-31,664.18,132.84
2024-08-01,659.04,131.81
2024-08-02,705.9,141.18
2024-08-03,629.92,125.98
2024-08-04,712.17,142.43
2024-08-05,722.86,144.57
2024-08-06,655.23,131.05
2024-08-07,708.11,141.62
2024-08-08,688.14,137.63
2024-08-09,690.6,138.12
2024-08-10,672.47,134.49
2024-08-11,682.62,136.52
2024-08-12,565.78,113.16
2024-08-13,669.1,133.82
2024-08-14,626.09,125.22
2024-08-15,640.01,128.0
2024-08-16,702.48,140.5
2024-08-17,620.08,124.02
2024-08-18,752.58,150.52
2024-08-19,769.43,153.89
2024-08-20,710.5,142.1
2024-08-21,567.34,113.47
2024-08-22,644.57,128.91
2024-08-23,668.39,133.68
2024-08-24,658.15,131.63
2024-08-25,677.76,135.55
2024-08-26,697.78,139.56
2024-08-27,759.15,151.83
2024-08-28,704.32,140.86
2024-08-29,704.57,140.91
2024-08-30,675.42,135.08
2024-08-31,646.57,129.31
2024-09-01,667.42,100.11
2024-09-02,715.14,107.27
2024-09-03,667.58,100.14
2024-09-04,648.19,97.23
2024-09-05,637.74,95.66
2024-09-06,612.43,91.86
2024-09-07,685.09,102.76
2024-09-08,580.84,87.13
2024-09-09,730.3,109.54
2024-09-10,674.83,101.22
2024-09-11,599.08,89.86
2024-09-12,657.55,98.63
2024-09-13,674.32,101.15
2024-09-14,655.42,98.31
2024-09-15,663.28,99.49
2024-09-16,623.71,93.56
2024-09-17,735.93,110.39
2024-09-18,596.96,89.54
2024-09-19,759.54,113.93
2024-09-20,576.26,86.44
2024-09-21,647.66,97.15
2024-09-22,696.71,104.51
2024-09-23,758.51,113.78
2024-09-24,531.68,79.75
2024-09-25,718.37,107.76
2024-09-26,649.36,97.4
2024-09-27,557.5,83.63
2024-09-28,640.72,96.11
2024-09-29,639.04,95.86
2024-09-30,673.98,101.1
2024-10-01,751.43,112.72
2024-10-02,648.36,97.25
2024-10-03,646.16,96.92
2024-10-04,678.18,101.73
2024-10-05,648.28,97.24
2024-10-06,579.28,86.89
2024-10-07,582.74,87.41
2024-10-08,646.16,96.92
2024-10-09,651.84,97.78
2024-10-10,667.83,100.18
2024-10-11,670.12,100.52
2024-10-12,614.79,92.22
2024-10-13,638.43,95.76
2024-10-14,634.95,95.24
2024-10-15,727.73,109.16
2024-10-16,595.47,89.32
2024-10-17,626.35,93.95
2024-10-18,662.18,99.33
2024-10-19,608.6,91.29
2024-10-20,648.75,97.31
2024-10-21,592.18,88.83
2024-10-22,556.29,83.44
2024-10-23,564.08,84.61
2024-10-24,539.93,80.99
2024-10-25,650.78,97.62
2024-10-26,635.66,95.35
2024-10-27,701.97,105.3
2024-10-28,655.01,98.25
2024-10-29,642.86,96.43
2024-10-30,627.73,94.16
2024-10-31,640.72,96.11
2024-11-01,722.24,108.34
2024-11-02,628.18,94.23
2024-11-03,664.33,99.65
