DT_id,total_days,days_condition_1,classification
278243,92,0,Underloaded
25829,91,1,Underloaded
26036,92,4,Underloaded
25865,91,5,Underloaded
26426,91,0,Underloaded
751906,92,0,Underloaded
25838,91,33,Underloaded
25834,91,0,Underloaded
27144,91,0,Underloaded
25832,91,18,Underloaded
752549,92,0,Underloaded
25831,91,4,Underloaded
279330,92,78,Overloaded
752553,92,0,Underloaded
751608,92,0,Underloaded
25840,91,0,Underloaded
26902,91,0,Underloaded
25839,91,0,Underloaded
163259,92,0,Underloaded
751604,92,0,Underloaded
25833,91,4,Underloaded
26423,91,45,Underloaded
277199,92,0,Underloaded
25872,91,0,Underloaded
25836,91,0,Underloaded
27142,91,0,Underloaded
26904,91,58,Overloaded
25830,91,0,Underloaded
25835,91,0,Underloaded
27137,91,0,Underloaded
26038,92,79,Overloaded
26037,92,1,Underloaded
27147,91,69,Overloaded
25868,91,0,Underloaded
27141,91,0,Underloaded
94998,91,0,Underloaded
25874,91,64,Overloaded
25873,91,0,Underloaded
25870,58,5,Underloaded
26190,91,0,Underloaded
26903,91,0,Underloaded
26901,91,0,Underloaded
27139,91,64,Overloaded
277680,92,0,Underloaded
27136,91,0,Underloaded
277672,92,0,Underloaded
25871,91,41,Underloaded
27145,91,70,Overloaded
